,tweets_id,text,is_rumour,topic
0,552784600502915072,Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,0,charliehebdo-all-rnr-threads
1,552784898743099392,Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,0,charliehebdo-all-rnr-threads
2,552785391653494784,Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,0,charliehebdo-all-rnr-threads
3,552786116404072448,"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0,charliehebdo-all-rnr-threads
4,552786299875520512,"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",0,charliehebdo-all-rnr-threads
5,552786340958715904,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,0,charliehebdo-all-rnr-threads
6,552787144373460992,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,0,charliehebdo-all-rnr-threads
7,552787144415404032,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,0,charliehebdo-all-rnr-threads
8,552787321561812992,Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,0,charliehebdo-all-rnr-threads
9,552787361437057024,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",0,charliehebdo-all-rnr-threads
10,552787599031828480,'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,0,charliehebdo-all-rnr-threads
11,552787914271510529,If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,0,charliehebdo-all-rnr-threads
12,552788007603142656,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,0,charliehebdo-all-rnr-threads
13,552788555584765952,"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",0,charliehebdo-all-rnr-threads
14,552788720236376064,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,0,charliehebdo-all-rnr-threads
15,552789196906459136,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",0,charliehebdo-all-rnr-threads
16,552789252690706432,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,0,charliehebdo-all-rnr-threads
17,552789443644751872,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",0,charliehebdo-all-rnr-threads
18,552789550238801920,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,0,charliehebdo-all-rnr-threads
19,552789583260577792,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",0,charliehebdo-all-rnr-threads
20,552789886202175490,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",0,charliehebdo-all-rnr-threads
21,552790565642067968,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",0,charliehebdo-all-rnr-threads
22,552790598823186432,"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",0,charliehebdo-all-rnr-threads
23,552790695036321793,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",0,charliehebdo-all-rnr-threads
24,552791159232540673,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,0,charliehebdo-all-rnr-threads
25,552791203432103937,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,0,charliehebdo-all-rnr-threads
26,552791332935434242,"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.",0,charliehebdo-all-rnr-threads
27,552791414388424704,"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.",0,charliehebdo-all-rnr-threads
28,552791678881660928,Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,0,charliehebdo-all-rnr-threads
29,552791719272775680,The Guardian has live coverage of the Paris shooting at Charlie Hebdo  http://t.co/M27vO7xFIk,0,charliehebdo-all-rnr-threads
30,552791831390732289,Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,0,charliehebdo-all-rnr-threads
31,552792131447037952,in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,0,charliehebdo-all-rnr-threads
32,552792253601947648,"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.",0,charliehebdo-all-rnr-threads
33,552792518870708224,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",0,charliehebdo-all-rnr-threads
34,552793409438904321,"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that.",0,charliehebdo-all-rnr-threads
35,552793759210307584,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,0,charliehebdo-all-rnr-threads
36,552794286849536001,"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R",0,charliehebdo-all-rnr-threads
37,552794514424102913,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,0,charliehebdo-all-rnr-threads
38,552794995942772736,"'...but I will to the death defend your right to say it'.

#charliehebdo
#voltaire http://t.co/oFEHT8Xx3v",0,charliehebdo-all-rnr-threads
39,552795056080691200,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,0,charliehebdo-all-rnr-threads
40,552795778922864640,It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,0,charliehebdo-all-rnr-threads
41,552795953301045248,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,0,charliehebdo-all-rnr-threads
42,552796269069209600,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,0,charliehebdo-all-rnr-threads
43,552796506642591744,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,0,charliehebdo-all-rnr-threads
44,552796522904297472,"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.",0,charliehebdo-all-rnr-threads
45,552796619104866304,Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0,0,charliehebdo-all-rnr-threads
46,552796625467621376,#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,0,charliehebdo-all-rnr-threads
47,552796895513681920,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,0,charliehebdo-all-rnr-threads
48,552797058990870528,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,0,charliehebdo-all-rnr-threads
49,552797114863198208,TREND IT #IStandWithFrance http://t.co/7M7PwFJnkz,0,charliehebdo-all-rnr-threads
50,552797148975464448,BREAKING: Astonishing video of the Paris terror attack as it was happening &gt; http://t.co/sglPyWCWhL (via @BBCDanielS ) #CharlieHebdo,0,charliehebdo-all-rnr-threads
51,552797154692300800,We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,0,charliehebdo-all-rnr-threads
52,552797170295144449,Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,0,charliehebdo-all-rnr-threads
53,552797729504886784,"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",0,charliehebdo-all-rnr-threads
54,552797828977029120,Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge,0,charliehebdo-all-rnr-threads
55,552798010196107264,BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,0,charliehebdo-all-rnr-threads
56,552798016646942721,"Charlie Hebdo, we love you",0,charliehebdo-all-rnr-threads
57,552798200990806016,"Our sympathies &amp; prayers are with the victims, their families &amp; the French people.  #Ahmadiyya Muslims totally condemn murder #CharlieHebdo",0,charliehebdo-all-rnr-threads
58,552798310889566209,"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack",0,charliehebdo-all-rnr-threads
59,552798640679702528,Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,0,charliehebdo-all-rnr-threads
60,552798832359374849,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,0,charliehebdo-all-rnr-threads
61,552799100715167744,France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,0,charliehebdo-all-rnr-threads
62,552799606833430528,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",0,charliehebdo-all-rnr-threads
63,552799669521481728,"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",0,charliehebdo-all-rnr-threads
64,552800070199148544,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,0,charliehebdo-all-rnr-threads
65,552800222553079809,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,0,charliehebdo-all-rnr-threads
66,552800223496790018,"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo",0,charliehebdo-all-rnr-threads
